index,score,label
5347,0.894206785741499,-1
21549,0.8940991206130223,-1
21464,0.8936979631718723,-1
21655,0.893504678163485,-1
27895,0.8927919056721604,-1
22211,0.8927063729732014,-1
294,0.8926522607806365,-1
22191,0.8923856973299079,-1
1715,0.8922827137905712,-1
4953,0.8921123962913264,-1
2196,0.8913496801110969,-1
22249,0.8913359347637658,-1
22251,0.8913129250841678,-1
22681,0.8912687974145665,-1
23221,0.8910542865046619,-1
21844,0.8903386602653672,-1
21478,0.8902399449028711,-1
23344,0.8896420053618119,-1
22128,0.8895986849110261,-1
21617,0.889422622027373,-1
26407,0.8881054454056598,-1
27356,0.8880315774667683,-1
22183,0.8855259877772886,-1
5741,0.8849199356421922,-1
5985,0.8846338307578756,-1
22204,0.8845832989140829,-1
24077,0.8840437613649944,-1
22245,0.8825705476392125,-1
3971,0.882508325268142,-1
22647,0.8821661273036229,-1
1361,0.8819909492321855,-1
27205,0.8819646963499983,-1
5739,0.8819136066444593,-1
7051,0.8818590625974719,-1
5740,0.8816697740810716,-1
6990,0.8815958464894731,-1
21502,0.8811933977602093,-1
15520,0.8811573374520563,-1
24246,0.8811220374410423,-1
24554,0.8810938297405861,-1
1385,0.8806730805909335,-1
979,0.8802342666659895,-1
1703,0.8794329561829163,-1
26310,0.8789140014204929,-1
21567,0.8785040829384058,-1
21678,0.8779257990252639,-1
204,0.8778001321910824,-1
21794,0.8766698140457487,-1
21551,0.8763070231982002,-1
27112,0.8761782406174826,-1
27719,0.8759438369121839,-1
22506,0.8759037522851953,-1
22415,0.8756869983762234,-1
26963,0.8756546103435072,-1
21494,0.8755318560235456,-1
22932,0.8754160559899715,-1
26450,0.875274113288866,-1
26520,0.8751869563618198,-1
21492,0.8749743827850233,-1
21940,0.874919451999859,-1
21727,0.8746351672541332,-1
27565,0.8745586903568144,-1
21875,0.8744800057186065,-1
96,0.8743820273902857,-1
27645,0.8743397095241044,-1
23030,0.8740130940447826,-1
27972,0.8737154285738644,-1
23116,0.8736768285626874,-1
23041,0.8736590131729098,-1
27202,0.8735951746928567,-1
23133,0.8735855246900834,-1
27876,0.8734415169559688,-1
3487,0.8733323939904506,-1
27987,0.8732670745977235,-1
27989,0.8731965553465197,-1
22988,0.8731646361065353,-1
1134,0.8731052514739106,-1
881,0.8730097687085662,-1
