length,duration,src_port,dst_port,src_ip,dst_ip,proto_BROWSER,proto_DNS,proto_HTTP,proto_MDNS,proto_QUIC,proto_SSDP,proto_TCP,proto_TLSv1.2,proto_TLSv1.3,proto_UDP,proto_UDP/XML,euclidean_to_mean,cosine_to_mean
68,0.0713809999999997,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.495471830747673,-0.17288812265334402
54,0.045410999999999646,443,59675,1257439092,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.794826954911122,-0.5058767199302648
71,0.1629390000000006,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,6.086920271639677,-0.23180841693703955
68,0.09175500000000003,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.533434878568606,-0.17040202682302988
54,0.009065999999999796,443,52092,338313557,3232258180,False,False,False,False,False,False,True,False,False,False,False,5.035510194310935,-0.5190465507247892
71,0.2039679999999997,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,6.262996611340665,-0.2229784957190064
68,0.10022900000000057,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.552654603791594,-0.1692733902189212
71,0.41246599999999933,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,7.652472868213945,-0.17287232804397354
71,0.14389699999999994,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,6.0185988799998125,-0.23555687808990985
68,0.0018170000000008457,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.455910651474685,-0.17864336299094388
69,0.06467599999999951,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.485526514017424,-0.17363188515422784
123,0.796977,0,0,3232258180,1719953461,False,False,False,False,False,False,False,True,False,False,False,11.29102090696782,0.08429182008258998
71,0.015329999999999622,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,5.801851366413051,-0.25218062622036364
54,0.05109200000000058,443,50306,1719953461,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.2983676724917075,-0.5235476890061757
69,0.016293000000000113,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.452503523795457,-0.17781639461544588
125,0.2669769999999998,0,0,1719953461,3232258180,False,False,False,False,False,False,False,True,False,False,False,6.284756897730776,-0.19124315642230602
54,0.04146699999999992,50306,443,3232258180,1719953461,False,False,False,False,False,False,True,False,False,False,False,4.727905504518441,-0.14987538788387308
